IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1006030,1925,Rogers Hornsby,STL,29,138,504,605,203,113,41,10,39,133,143,83,,39.0,2.0,,16,,5,3.0,0.403,,,,,,,,,,,0.13699999999999998,0.064,2.13,0.489,0.756,1.245,0.353,0.385,,,,,,,,,0.539,96.2,178,90.0,0.0,20.3,4.2,117.8,10.7,,5.6,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,-0.2,,29 - 29,89.8,3.5,,,,,,,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,182.0,107.0,137.0,176.0,275.0,124.0,,,,,,,,,,,,,,,,,,0,,,,,,10.7
1002914,1925,Kiki Cuyler,PIT,26,153,617,700,220,133,43,26,18,144,102,58,,56.0,13.0,,12,,41,13.0,0.357,,,,,,,,,,,0.083,0.08,1.04,0.423,0.598,1.021,0.241,0.372,,,,,,,,,0.453,61.0,156,52.4,5.0,23.5,-6.2,81.1,7.4,,8.4,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,2.3,,26 - 26,54.7,4.0,,,,,,,,0.18899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,110.0,133.0,118.0,139.0,188.0,120.0,,,,,,,,,,,,,,,,,,0,,,,,,7.4
1011978,1925,Al Simmons,PHA,23,153,654,696,253,174,43,12,24,122,129,35,,41.0,1.0,,6,,7,14.0,0.387,,,,,,,,,,,0.05,0.059000000000000004,0.85,0.419,0.599,1.018,0.213,0.389,,,,,,,,,0.454,60.9,156,50.1,5.0,23.3,-3.8,73.8,6.8,,5.1,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,-4.9,,23 - 23,45.2,4.1,,,,,,,,0.14400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,55.0,100.0,113.0,143.0,177.0,125.0,,,,,,,,,,,,,,,,,,0,,,,,,6.8
1004893,1925,Goose Goslin,WAS,24,150,601,670,201,129,34,20,18,116,113,53,,50.0,6.0,,10,,27,8.0,0.334,,,,,,,,,,,0.079,0.075,1.06,0.394,0.547,0.941,0.213,0.343,,,,,,,,,0.421,40.0,131,34.3,14.0,22.5,-6.1,70.5,6.5,,7.6,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,1.9,,24 - 24,36.1,4.0,,,,,,,,0.18100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,86.0,127.0,107.0,130.0,177.0,110.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1005590,1925,Harry Heilmann,DET,30,150,573,664,225,161,40,11,13,97,134,67,,27.0,1.0,,23,,6,6.0,0.393,,,,,,,,,,,0.10099999999999999,0.040999999999999995,2.48,0.457,0.569,1.026,0.176,0.398,,,,,,,,,0.464,63.7,154,54.3,-2.0,22.3,-6.4,70.8,6.4,,4.7,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.4,-1.3,,30 - 30,53.0,3.9,,,,,,,,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,110.0,69.0,124.0,135.0,146.0,128.0,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1012309,1925,Tris Speaker,CLE,37,117,429,518,167,115,35,5,12,79,87,70,,12.0,4.0,,15,,5,2.0,0.389,,,,,,,,,,,0.135,0.023,5.83,0.479,0.578,1.057,0.189,0.383,,,,,,,,,0.479,56.2,127,49.1,2.0,17.4,-2.7,69.2,6.3,,4.3,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,0.3,,37 - 37,49.4,3.1,,,,,,,,0.18100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,147.0,39.0,130.0,138.0,157.0,123.0,,,,,,,,,,,,,,,,,,0,,,,,,6.3
1001228,1925,Jim Bottomley,STL,25,153,619,681,227,150,44,12,21,92,128,47,,36.0,2.0,,13,,3,4.0,0.367,,,,,,,,,,,0.069,0.053,1.31,0.413,0.578,0.992,0.212,0.367,,,,,,,,,0.443,53.2,146,46.3,0.0,22.8,-6.6,65.4,5.9,,4.2,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.6,-1.0,,25 - 25,45.3,3.9,,,,,,,,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,91.0,88.0,115.0,135.0,165.0,118.0,,,,,,,,,,,,,,,,,,0,,,,,,5.9
1014838,1925,Oscar Charleston,HBG,28,71,255,306,109,63,23,3,20,97,97,51,,,,,15,,17,,0.427,,,,,,,,,,,0.16699999999999998,,,0.523,0.776,1.299,0.349,,,,,,,,,,0.562,54.7,96,52.8,0.0,10.3,-1.9,64.3,5.8,,6.7,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9,3.5,,28 - 28,56.3,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,195.0,,147.0,186.0,287.0,,,,,,,,,,,,,,,,,,,0,,,,,,5.8
1004264,1925,Jack Fournier,BRO,35,145,545,649,191,132,21,16,22,99,130,86,,39.0,8.0,,10,,4,6.0,0.35,,,,,,,,,,,0.133,0.06,2.21,0.446,0.569,1.015,0.218,0.349,,,,,,,,,0.456,58.2,146,53.3,-7.0,21.8,-6.3,63.7,5.7,,4.6,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.3,-1.7,,35 - 35,51.5,3.7,,,,,,,,0.22699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,176.0,100.0,125.0,133.0,170.0,112.0,,,,,,,,,,,,,,,,,,0,,,,,,5.7
1016481,1925,Turkey Stearnes,DS,24,94,367,412,136,79,24,14,19,93,126,45,,,,,3,,11,,0.371,,,,,,,,,,,0.109,,,0.439,0.668,1.107,0.297,,,,,,,,,,0.484,46.7,103,48.5,0.0,13.8,-2.3,62.0,5.6,,6.9,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3,2.3,,24 - 24,50.9,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,127.0,,129.0,164.0,235.0,,,,,,,,,,,,,,,,,,,0,,,,,,5.6
